time_sec,target_x,target_y,target_vx,target_vy
0.1,5.14746065361171,-0.972124344591276,5.22622682584646,0.767851650011241
0.2,5.62850568490855,-0.91977502384064,5.33689587041387,0.61882803815685
0.3,6.20949251523376,-0.890886146094137,5.39494284247339,0.899114602120075
0.4,6.64336826474995,-0.843399002334426,5.44097967977521,0.906798244577465
0.5,7.13340781263891,-0.85557054035526,4.61264056156606,0.144757117369537
0.6,7.73754577053829,-0.840088662325129,3.86737837978188,0.372443902495071
0.7,8.18973405496952,-0.829070099193068,4.99442993817577,-0.00455136432687397
0.8,8.640626015955,-0.860144284774098,4.47341821674108,-0.999945175086977
0.9,9.16472502721498,-0.928697476292203,4.03862438371938,-1.20312081365152
1,9.62760074890594,-0.978650628044343,5.60179064973149,-0.914438936347115
1.1,10.0789818039877,-1.08619613807423,5.30237683405376,-1.07351165579298
1.2,10.6100316515969,-1.2009773577204,4.54547251942752,-1.12196885248394
1.3,11.1304796434243,-1.31922562435714,5.26991124618326,-1.58085155700701
1.4,11.4195503196052,-1.37481615269836,4.72240077383038,-0.56745677237389
1.5,11.8813310782328,-1.42150404391074,5.7809401915351,-1.6219620214649
1.8,13.4989804714345,-1.50546379039829,5.46021447114174,-0.284634712229666
1.9,13.9636396849788,-1.5096552780905,4.84378833049399,1.20989314506115
2,14.7206611813964,-1.52501417389398,3.2983224162282,0.144277303879752
2.3,16.2249222111736,-1.36205600697506,5.54371283382672,1.07865794700367
2.4,16.3051070273334,-1.29207558847536,3.94850314932098,0.946807228308022
2.5,16.9610038802732,-1.20678914973246,5.04927245332027,0.45626003132658
2.6,16.6214593642581,-1.21715160263619,7.61397452674191,0.850881354450135
2.8,15.6525534915666,-1.16734036978357,4.34311882500111,1.46812894753891
2.9,15.1493424059846,-1.13922732817605,4.48000749327296,0.719156241184539
3,14.5263707426058,-1.10328831228615,5.53908425904941,1.13696952939374
3.1,14.1994943447331,-1.10195022205254,5.18187825704945,0.443655451268824
3.2,13.496793399162,-0.956787775961411,5.70916175261415,1.94422906344041
3.6,11.7671880160961,-0.838666370852443,5.18048905295282,1.89036596223928
3.8,10.6956506485291,-0.750588946557737,3.43357002312143,1.36244169985768
4.1,9.14593854276561,-0.672989607221156,4.91060501832929,1.05676565499373
4.2,8.64713507383167,-0.658170141810416,6.05864849133873,1.03928043067452
4.3,8.07912292262377,-0.627502782586281,5.20008945401007,1.42789355503336
4.4,7.62484421265527,-0.623990627171591,5.0897858644004,1.33194902535602
4.5,7.13201944200442,-0.614073669855147,4.98179425204149,1.40879098069464
4.8,5.60333839336104,-0.620003672424019,5.03726908272608,1.54975918316923
4.9,5.07968174861,-0.608195198601435,5.097357270047,0.995929839224794
